list of verbs
mentioned
left
performed
greeting
knew
wanted
know
cared
observed
spoke
thank
prevented
left
having
performed
return
brought
embroidered
lifted
drew
meet
seemed
brightened
become
carrying
looked
talking
felt
becoming
talked
saw
thought
went
swaying
spreading
sat
doing
brought
said
displaying
addressing
hope
played
added
turning
wrote
see
spread
show
waisted
trimmed
girdled
will
replied
know
said
turning
deserting
going
killed
tell
added
addressing
waiting
turned
speak
said
built
cropped
colored
known
lay
dying
entered
returned
educated
greeted
accorded
came
saw
enter
could
distinguished
come
visit
said
exchanging
conducted
murmured
continued
look
bowed
justified
turned
waiting
hear
detained
know
heard
think
rejoined
say
attend
committed
left
finished
speaking
continued
speak
wished
spread
began
explaining
thinking
will
talk
said
having
got
rid
know
behave
resumed
continued
listen
watch
help
might
happen
flag
set
work
goes
stopped
makes
should
check
set
moved
approaching
kept
kept
approached
listen
said
passed
educated
attended
knew
gathered
know
look
missing
heard
seeing
expecting
hear
came
seemed
stood
waiting
express
doing
hummed
sat
settled
formed
grouped
gathered
looking
polished
considered
placed
found
serving
serves
seen
would
cared
eat
served
began
discussing
said
perished
tell
said
contez
bowed
smiled
arranged
inviting
listen
knew
whispered
pávlovna
said
belongs
said
served
wished
begin
gave
come
said
pávlovna
sitting
smiled
rose
entered
trimmed
sparkling
passed
made
looking
smiling
allowing
admiring
exposed
seemed
bring
moved
show
appeared
seemed
wish
diminish
said
saw
lifted
dropped
startled
took
beamed
doubt
said
inclining
rested
considered
waited
told
sat
glancing
altered
readjusted
smoothed
produced
glanced
adopted
saw
relapsed
left
followed
wait
’ll
thinking
went
turning
fetch
smiling
talking
sat
arranged
said
asking
begin
took
having
brought
joined
moving
seated
lit
dulled
seemed
puckered
fell
’s
going
said
sitting
adjusting
could
begin
speak
said
shrugging
hate
said
showed
understood
uttered
spoke
could
said
dressed
called
told
gone
visit
came
enjoyed
happened
fall
fits
spared
repaid
recognized
looked
agitated
said
inquiring
whispered
sticking
testify
prevented
going
appreciated
smiling
continue
kept
alarmed
noticed
talking
hurried
managed
start
explaining
talking
listening
disapproved
saying
said
place
having
would
save
beginning
came
looking
asked
stood
changed
assumed
conversing
enchanted
had
received
had
think
said
letting
keep
brought
entered
features
offered
knew
found
wearied
look
listen
found
seemed
bore
turned
distorted
kissed
screwing
scanned
said
said
speaking
stressing
take
will
go
deprive
said
addressing
spoke
telling
screwed
turned
entered
watched
came
took
looked
frowned
expressing
touching
saw
beaming
gave
said
knew
would
replied
will
come
supper
may
added
disturb
continuing
said
laughing
pressing
show
ask
wished
say
got
go
rose
let
pass
must
excuse
said
holding
prevent
deprives
obliges
interrupt
leave
enchanting
said
turning
passed
holding
shone
gazed
frightened
passed
said
said
passing
seized
said
educate
staying
seen
smiled
promised
take
knew
sitting
rose
overtook
assumed
left
worn
expressed
said
hurrying
ca
remain
tell
may
take
listened
betraying
gave
ingratiating
took
might
go
would
cost
say
would
transferred
said
believe
can
answered
ask
should
advise
appeal
would
belonging
having
lost
come
procure
meet
obtained
sat
listening
frightened
clouded
smiled
clutched
listen
said
asked
will
reminded
entreat
shall
regard
added
promise
asked
refused
kindhearted
said
trying
smile
shall
said
turning
looking
molded
stood
waiting
economized
last
knew
having
realized
asked
begged
would
ask
became
using
felt
reminded
indebted
could
see
having
made
will
rest
gained
prepared
go
insisting
make
moved
said
ask
prove
respect
will
shall
transferred
expected
knew
turned
go
wait
transferred
faltered
recommend
shall
smiled
wo
promise
know
pestered
told
conspired
give
promise
wo
let
go
said
shall
hear
will
speak
promise
promise
cried
went
came
forgotten
employed
gone
resumed
returned
talking
pretended
listen
waiting
would
leave
accomplished
think
asked
laying
sitting
granting
make
gone
looked
dieu
say
said
remarked
repeating
given
let
touches
beware
hope
will
prove
will
make
run
continued
will
endure
speak
said
done
became
believe
reaping
sending
compliment
sighing
changed
gazing
turned
having
asked
began
tracing
explained
asked
said
listened
smiling
remains
continued
acquainted
listen
follows
will
gone
mean
will
destroyed
shrugged
spread
wished
make
interested
interrupted
said
accompanied
declared
will
leave
choose
believe
will
throw
concluded
trying
said
supposes
gone
think
will
return
heard
said
blushing
breaking
gone
say
replied
looking
know
said
remarked
like
aiming
looking
showed
follow
continued
quoting
opened
crowded
know
saying
replied
ceased
regard
went
turning
smile
broke
felt
would
say
stop
declared
seems
showed
fearing
take
muttered
consider
shows
said
smiling
drawing
work
exclaimed
said
began
slapping
shrugged
looked
continued
say
continued
fled
leaving
understood
quelled
could
stop
wo
come
suggested
continued
heeding
cried
becoming
rose
suppressed
preserved
obtain
having
obtained
availing
commit
restored
should
called
remarked
could
gave
might
rid
saw
continued
betraying
express
wo
come
repeated
said
speaking
speaking
interjected
retained
said
deciding
prove
sounding
discredited
love
preached
become
wanted
destroyed
kept
looking
struck
saw
exasperated
convinced
stop
rallied
joined
said
explain
executing
should
like
said
ask
explains
killed
said
shrugging
’s
say
will
remarked
knowing
answer
looked
smiled
smiled
replaced
seemed
ask
meeting
saw
suggested
expect
answer
said
distinguish
seems
chimed
pleased
must
admit
continued
gave
stricken
justify
wished
tone
rose
made
go
started
making
attend
asking
seated
began
told
must
treat
excuse
must
tell
will
lost
began
tell
would
speak
spending
waited
demand
must
said
paused
collecting
said
said
put
come
make
spluttered
burst
laughing
produced
smile
went
lost
came
could
contain
went
knew
ended
told
told
appreciated
ending
broke
would
meet
having
thanked
began
take
know
enter
leave
say
going
rose
go
took
cornered
held
pulling
asked
restore
enter
redeemed
turned
expressed
said
hope
see
hope
will
change
said
reply
bowed
saw
said
see
including
felt
gone
turning
helping
listened
come
stood
stared
go
will
catch
said
taking
settled
added
managed
speak
lise
contemplated
rely
said
write
let
know
looks
left
approached
bending
began
whisper
stood
holding
waiting
finish
listened
wishing
appear
spoke
listened
go
said
say
will
replied
drawing
will
will
said
smiling
snatching
pushed
began
wrapping
could
said
adjusted
kept
embracing
smiling
moved
turning
glancing
closed
seem
asked
looking
put
reached
stumbling
ran
following
helping
cried
stumbling
picking
taking
adjusting
helping
allow
said
blocking
expecting
said
started
rattled
laughed
stood
waiting
promised
take
said
having
seated
kissed
burst
laughing
know
continued
pity
gives
spluttered
said
saying
know
deal
pierre
reaching
went
lay
took
came
resting
began
reading
done
will
said
entered
rubbing
turned
making
lifted
smiled
waved
see
know
express
ca
say
thinks
decided
going
asked
sat
tucked
know
like
must
decide
expects
pierre
sent
remained
returned
dismissed
said
go
look
choose
will
agree
write
will
help
choosing
decided
speaking
rubbed
must
said
referring
met
interrupted
let
thinking
wanted
tell
could
understand
should
enter
help
shrugged
put
finds
reply
would
give
gave
fought
would
said
would
splendid
said
smiled
would
splendid
will
come
going
asked
know
must
going
paused
going
leading
suit
vii
heard
shook
waking
assumed
had
removed
came
changed
rose
placed
began
settling
got
married
excuse
saying
arguing
ca
understand
wants
go
replied
addressing
shown
started
touched
tell
said
understand
understand
ca
live
want
need
shall
judge
tell
appreciated
heard
asking
laughed
received
might
become
know
spoke
speaking
arrange
think
looked
noticing
like
gave
starting
asked
speak
wo
hear
spoken
said
spoken
suited
remembered
must
broken
know
looked
’m
’m
whispered
ran
looked
notice
addressed
understand
said
egotists
goodness
knows
leaves
locks
remember
said
expects
drawn
giving
paused
felt
speak
lay
ca
understand
said
taking
blushed
raised
must
say
changed
tells
go
said
go
said
quivered
rose
shrugged
walked
looked
moved
rise
changed
should
mind
exclaimed
distorted
wanted
ask
changed
done
going
said
expressed
would
regret
went
treat
see
behave
beg
desist
said
growing
listened
rose
approached
seemed
bear
cry
calm
seems
assure
experienced
excuse
distress
caught
wait
wish
deprive
spending
thinks
muttered
restraining
said
raising
indicates
exhausted
changed
winning
glanced
assumed
deprecating
wags
muttered
lifting
went
kissed
said
rising
kissing
would
done
cared
begin
talking
glanced
rubbed
let
go
said
going
entered
decorated
found
leaned
seen
began
talk
determines
speak
marry
’s
marry
can
say
done
ceased
love
seen
will
make
marry
will
lost
will
wasted
look
marry
expecting
will
feel
ended
closed
drawing
will
ranged
’s
waved
took
made
seem
gazed
continued
would
give
mention
like
said
lolled
uttered
quivering
seemed
extinguished
flashed
seemed
impassioned
became
understand
say
continued
talk
said
mentioned
worked
went
consider
reached
tie
lose
weighs
torments
can
escape
going
know
continued
listen
set
can
exist
knew
’s
see
meet
seems
’s
marry
marry
concluded
seems
said
should
consider
finish
showed
thought
expected
can
talk
thought
considered
possessed
lacked
might
described
astonished
treating
read
knew
struck
addicted
regarded
praise
may
run
played
said
’s
talking
let
talk
added
smiling
reflected
say
said
relaxing
blushed
made
say
say
wanted
consult
looked
affectionate
expressed
’re
choose
will
’s
’ll
look
give
visiting
leading
suits
would
answered
shrugging
understand
replied
’s
understand
staying
sharing
dissipated
planning
marrying
know
said
struck
thought
thinking
leading
ca
decide
think
aches
spends
asked
wo
go
give
go
left
took
drive
drew
felt
going
sleep
see
seemed
remembered
expecting
finishing
should
like
go
thought
recalled
go
happens
desired
enjoy
decided
go
occurred
gave
promised
come
thought
considers
may
may
happen
will
indulged
nullifying
went
reaching
lived
entered
ascended
went
lying
shouting
dispersed
threw
entered
thinking
saw
drinking
left
came
crowding
romping
pulling
trying
set
bet
shouted
cried
bet
cried
part
leave
’s
loses
shouted
bring
shouted
stood
wait
fellows
cried
addressing
striking
cried
come
part
living
smiled
looking
understand
’s
wait
said
taking
went
must
drink
drank
looking
crowding
listening
kept
refilling
explaining
betting
would
drink
sitting
hanging
go
must
drink
said
giving
wo
let
go
wo
said
pushing
went
holding
repeating
addressing
wore
seen
curved
formed
closed
played
round
produced
made
notice
spent
lived
placed
footing
knew
including
respected
could
play
won
drank
lost
brought
prevented
sitting
forced
flurried
intimidated
anatole
swaggering
strode
wanted
smash
pushing
tugged
could
move
smashed
said
turning
seized
tugged
wrenched
take
’ll
think
’m
holding
said
said
said
looking
approaching
merging
jumped
listen
cried
standing
addressing
bet
spoke
might
understand
speak
wish
make
added
addressing
replied
will
drink
taking
sitting
stooped
pointed
holding
said
turned
taking
looking
began
repeating
wait
cried
hammering
attract
wait
listen
will
pay
understand
nodded
gave
intended
accept
release
kept
nodding
show
understood
went
translating
losing
climbed
leaned
looked
muttered
looking
shut
cried
pushing
jumped
tripping
placing
could
reach
climbed
lowered
pressing
adjusted
lowered
moved
took
brought
placed
’s
lit
crowded
stood
smiling
pushed
wanted
seize
say
’ll
killed
said
stopped
touch
’ll
startle
’ll
killed
turned
holding
arranged
comes
meddling
said
emitting
compressed
will
throw
saying
turned
dropped
took
lifted
threw
raised
balance
stooped
pick
broken
remained
taking
stood
staring
looked
pursing
wished
stop
ran
threw
hid
forgot
fade
expressed
took
sat
thrown
touched
holding
lifted
trembled
emptying
rising
tilting
thought
seemed
elapsed
made
trembled
cause
slip
sat
began
slipping
wavered
moved
clutch
refrained
touching
covered
thought
would
open
looked
standing
’s
threw
caught
jumped
smelt
done
’s
take
came
took
began
counting
stood
frowning
speak
jumped
wishes
bet
’ll
cried
tell
bring
’ll
bring
let
let
said
smiling
gone
would
let
go
exclaimed
’ll
drink
let
shouted
banging
preparing
climb
seized
touched
sent
flying
’ll
manage
said
wait
’ll
listen
’ll
take
going
come
cried
come
’ll
take
caught
took
lifted
began
dancing
kept
given
spoken
soiree
mentioned
made
transferred
received
returned
went
stayed
darling
entered
transferred
educated
lived
left
remained
join
radzivílov
named
carriages
coming
going
bringing
came
congratulate
succeeded
worn
had
resulting
gave
inspired
seated
helped
receive
entertain
considering
take
receiving
met
saw
inviting
called
thank
keeping
mind
come
shall
offended
beg
come
repeated
repeated
seen
returned
drew
spreading
putting
enjoys
knows
live
swayed
offered
touched
unflinching
rose
see
stroking
asked
would
pass
set
looking
bringing
moving
unfolding
would
call
